Algorithm,TestType,ArraySize,Duration_ms
Timsort,Already Sorted,4500,0.0501
Timsort,Reverse Sorted,4500,0.0267
Timsort,Mixed,6000,2.6741
Timsort,All Negative,6000,2.6579
Timsort,All Positive,6000,2.644
Timsort,Already Sorted,6000,0.0751
Timsort,Reverse Sorted,6000,0.0701
Timsort,Mixed,7000,3.1658
Timsort,All Negative,7000,3.211
Timsort,All Positive,7000,3.1499
Timsort,Already Sorted,7000,0.0766
Timsort,Reverse Sorted,7000,0.0519
Timsort,Mixed,8000,3.6526
Timsort,All Negative,8000,3.5486
Timsort,All Positive,8000,3.5163
Timsort,Already Sorted,8000,0.0511
Timsort,Reverse Sorted,8000,0.1145
Timsort,Mixed,9000,4.3896
Timsort,All Negative,9000,4.4252
Timsort,All Positive,9000,4.415
Timsort,Already Sorted,9000,0.109
Timsort,Reverse Sorted,9000,0.0526
Timsort,Mixed,10000,4.9564
Timsort,All Negative,10000,5.1357
Timsort,All Positive,10000,4.995
Timsort,Already Sorted,10000,0.1083
Timsort,Reverse Sorted,10000,0.0584
Timsort,Mixed,15000,7.8194
Timsort,All Negative,15000,7.8824
Timsort,All Positive,15000,7.6853
Timsort,Already Sorted,15000,0.0917
Timsort,Reverse Sorted,15000,0.1035
Timsort,Mixed,20000,11.136
Timsort,All Negative,20000,10.9788
Timsort,All Positive,20000,11.1257
Timsort,Already Sorted,20000,0.1219
Timsort,Reverse Sorted,20000,0.1151
Timsort,Mixed,30000,17.4784
Timsort,All Negative,30000,17.3315
Timsort,All Positive,30000,17.1953
Timsort,Already Sorted,30000,0.1638
Timsort,Reverse Sorted,30000,0.1706
Timsort,Mixed,40000,25.163
Timsort,All Negative,40000,25.4366
Timsort,All Positive,40000,25.211
Timsort,Already Sorted,40000,0.2341
Timsort,Reverse Sorted,40000,0.2287
Timsort,Mixed,200000,191.399
Timsort,All Negative,200000,188.859
Timsort,All Positive,200000,189.237
Timsort,Already Sorted,200000,1.1754
Timsort,Reverse Sorted,200000,1.1869
Timsort,Mixed,500000,710.489
Timsort,All Negative,500000,706.694
Timsort,All Positive,500000,705.088
Timsort,Already Sorted,500000,2.9466
Timsort,Reverse Sorted,500000,3.1094
Timsort,Mixed,1000000,2173.22
Timsort,All Negative,1000000,2168.84
Timsort,All Positive,1000000,2169.8
Timsort,Already Sorted,1000000,6.2407
Timsort,Reverse Sorted,1000000,6.1598
Radix LSD Bucket Sort,Mixed,10,0.0152
Radix LSD Bucket Sort,All Negative,10,0.0149
Radix LSD Bucket Sort,All Positive,10,0.0121
Radix LSD Bucket Sort,Already Sorted,10,0.0074
Radix LSD Bucket Sort,Reverse Sorted,10,0.0078
Radix LSD Bucket Sort,Mixed,50,0.0251
Radix LSD Bucket Sort,All Negative,50,0.0258
Radix LSD Bucket Sort,All Positive,50,0.0253
Radix LSD Bucket Sort,Already Sorted,50,0.0137
Radix LSD Bucket Sort,Reverse Sorted,50,0.0072
Radix LSD Bucket Sort,Mixed,100,0.0381
Radix LSD Bucket Sort,All Negative,100,0.0189
Radix LSD Bucket Sort,All Positive,100,0.0376
Radix LSD Bucket Sort,Already Sorted,100,0.0181
Radix LSD Bucket Sort,Reverse Sorted,100,0.0178
Radix LSD Bucket Sort,Mixed,300,0.0508
Radix LSD Bucket Sort,All Negative,300,0.0956
Radix LSD Bucket Sort,All Positive,300,0.0485
Radix LSD Bucket Sort,Already Sorted,300,0.0418
Radix LSD Bucket Sort,Reverse Sorted,300,0.0217
Radix LSD Bucket Sort,Mixed,750,0.2854
Radix LSD Bucket Sort,All Negative,750,0.109
Radix LSD Bucket Sort,All Positive,750,0.1834
Radix LSD Bucket Sort,Already Sorted,750,0.1238
Radix LSD Bucket Sort,Reverse Sorted,750,0.0945
Radix LSD Bucket Sort,Mixed,1000,0.2488
Radix LSD Bucket Sort,All Negative,1000,0.1784
Radix LSD Bucket Sort,All Positive,1000,0.1568
Radix LSD Bucket Sort,Already Sorted,1000,0.0631
Radix LSD Bucket Sort,Reverse Sorted,1000,0.0624
Radix LSD Bucket Sort,Mixed,3000,0.4801
Radix LSD Bucket Sort,All Negative,3000,0.6949
Radix LSD Bucket Sort,All Positive,3000,0.53
Radix LSD Bucket Sort,Already Sorted,3000,0.1947
Radix LSD Bucket Sort,Reverse Sorted,3000,0.2238
Radix LSD Bucket Sort,Mixed,4500,0.772
Radix LSD Bucket Sort,All Negative,4500,0.7203
Radix LSD Bucket Sort,All Positive,4500,0.7143
Radix LSD Bucket Sort,Already Sorted,4500,0.2877
Radix LSD Bucket Sort,Reverse Sorted,4500,0.4215
Radix LSD Bucket Sort,Mixed,6000,0.9537
Radix LSD Bucket Sort,All Negative,6000,0.9163
Radix LSD Bucket Sort,All Positive,6000,0.9176
Radix LSD Bucket Sort,Already Sorted,6000,0.3908
Radix LSD Bucket Sort,Reverse Sorted,6000,0.7627
Radix LSD Bucket Sort,Mixed,7000,1.0506
Radix LSD Bucket Sort,All Negative,7000,1.1027
Radix LSD Bucket Sort,All Positive,7000,1.0781
Radix LSD Bucket Sort,Already Sorted,7000,0.8042
Radix LSD Bucket Sort,Reverse Sorted,7000,0.4592
Radix LSD Bucket Sort,Mixed,8000,1.1966
Radix LSD Bucket Sort,All Negative,8000,1.1919
Radix LSD Bucket Sort,All Positive,8000,1.1957
Radix LSD Bucket Sort,Already Sorted,8000,0.5335
Radix LSD Bucket Sort,Reverse Sorted,8000,0.6084
Radix LSD Bucket Sort,Mixed,9000,1.51
Radix LSD Bucket Sort,All Negative,9000,1.3545
Radix LSD Bucket Sort,All Positive,9000,1.3401
Radix LSD Bucket Sort,Already Sorted,9000,0.5885
Radix LSD Bucket Sort,Reverse Sorted,9000,0.6213
Radix LSD Bucket Sort,Mixed,10000,1.4952
Radix LSD Bucket Sort,All Negative,10000,1.5098
Radix LSD Bucket Sort,All Positive,10000,1.5151
Radix LSD Bucket Sort,Already Sorted,10000,0.8297
Radix LSD Bucket Sort,Reverse Sorted,10000,0.9006
Radix LSD Bucket Sort,Mixed,15000,2.141
Radix LSD Bucket Sort,All Negative,15000,2.0711
Radix LSD Bucket Sort,All Positive,15000,2.0651
